Time:250Hz,Epoch,10,14,15,Event Id,Event Date,Event Duration
47.0159999998,5877,2.4025730291,1.8946947130,1.7525295054,,,
47.0199999998,5877,3.3175783926,3.2833686129,2.8317314927,,,
47.0240000000,5878,3.9983742909,4.6892957881,3.3793556059,,,
47.0279999999,5878,4.8440388511,6.0293919047,3.7076360077,,,
47.0319999999,5879,5.0748756479,6.2159630126,3.3403184364,,,
47.0359999998,5879,4.0919543873,4.6119635459,2.0077849931,,,
47.0399999998,5880,2.5821312161,2.1056241756,0.5756355114,,,
47.0439999998,5880,1.4156227058,-0.0670211611,0.0342660223,,,
47.0480000000,5881,0.4201087704,-1.6978381563,0.1788061833,,,
47.0519999999,5881,-0.7735190733,-2.9550053042,0.2213642518,,,
47.0559999999,5882,-1.6077469772,-3.3505957348,0.0893368862,,,
47.0599999998,5882,-1.4866740282,-2.5373085767,0.0847279610,,,
47.0639999998,5883,-1.0366465833,-1.3969707508,-0.1768271550,,,
47.0679999997,5883,-1.2468104054,-1.0685685492,-1.2678170218,,,
47.0719999999,5884,-1.9259523443,-1.3740686332,-2.6903040607,,,
47.0759999999,5884,-2.2422382276,-1.3916898804,-3.3097887874,,,
47.0799999998,5885,-2.2749269265,-1.1205650689,-2.9160403206,,,
47.0839999998,5885,-2.6792780688,-1.2619912690,-2.2469950565,,,
47.0880000000,5886,-3.1547614831,-1.6587209554,-1.5763498103,,,
47.0919999999,5886,-2.6893784611,-1.3772325068,-0.4821599991,,,
47.0959999999,5887,-1.2792861406,-0.3395269771,0.8974239141,,,
47.0999999999,5887,-0.0325234871,0.4728651985,1.6167563466,,,
47.1039999998,5888,0.5514210579,0.6166419880,1.3048682760,,,
47.1079999998,5888,1.0485408809,0.6829957276,0.7207777428,,,
47.1120000000,5889,1.6644419628,0.9281069837,0.4919647531,,,
47.1159999999,5889,1.7773655890,0.7904422298,0.3555403359,,,
47.1199999999,5890,1.3427526210,0.2445073803,0.1539288790,,,
47.1239999998,5890,1.3598078704,0.2979671826,0.4713352256,,,
47.1279999998,5891,2.2963809826,1.4582872649,1.5493884381,,,
47.1319999998,5891,3.2266656307,2.8156728090,2.5126569086,,,
47.1359999999,5892,3.2245058153,3.3395242861,2.4899218245,,,
47.1399999999,5892,2.4996784336,3.0329524724,1.7157315907,,,
47.1439999999,5893,1.4374274422,2.1128099753,0.7688951868,,,
47.1479999998,5893,-0.2702590510,0.2298822308,-0.4163311965,,,
47.1519999998,5894,-2.5875669826,-2.5252673778,-1.9020102266,,,
47.1559999997,5894,-4.2910476669,-4.8108875696,-2.8918331989,,,
47.1599999999,5895,-4.2717142962,-5.3306785477,-2.5802987168,,,
47.1639999999,5895,-2.9750056309,-4.3253504170,-1.4074796614,,,
47.1679999998,5896,-1.5426869666,-2.8189253466,-0.4708199374,,,
47.1719999998,5896,-0.2108803951,-1.0548214251,-0.0320508109,,,
47.1760000000,5897,1.2818733030,1.1523113632,0.3513047001,,,
47.1799999999,5897,2.3211512131,3.0834250488,0.5339066997,,,
47.1839999999,5898,1.9003239719,3.5696342489,-0.1204567106,,,
47.1879999998,5898,0.2608551933,2.6416277199,-1.3713377513,,,
47.1919999998,5899,-1.2839132656,1.4605871422,-2.0537732224,,,
47.1959999998,5899,-2.1170658297,0.6226233785,-1.6352677335,,,
47.2000000000,5900,-2.6382722998,-0.2310897152,-0.7587552076,,,
