Time:250Hz,Epoch,10,14,15,Event Id,Event Date,Event Duration
13.1519999998,1644,3.8552975069,4.1822729468,4.2802712350,,,
13.1559999997,1644,2.2939302690,2.8043735916,3.1790871058,,,
13.1599999999,1645,0.5489651705,1.0141635568,1.5880923713,,,
13.1639999999,1645,-0.4219587777,-0.0972373287,0.3963062890,,,
13.1679999998,1646,-0.9274688307,-0.6796010707,-0.4142146018,,,
13.1719999998,1646,-1.8553355474,-1.5842294798,-1.4528292249,,,
13.1760000000,1647,-2.9906198097,-2.6929685071,-2.4993847754,,,
13.1799999999,1647,-3.3658947909,-3.1285227798,-2.6543760287,,,
13.1839999999,1648,-2.9595575098,-2.8546753191,-1.8677401395,,,
13.1879999998,1648,-2.6515985414,-2.6998416823,-1.1092998433,,,
13.1919999998,1649,-2.6557630970,-2.8818596707,-0.9320117612,,,
13.1959999998,1649,-2.3882472298,-2.8331324480,-1.0080832994,,,
13.2000000000,1650,-1.8517090603,-2.4973044360,-1.1926019982,,,
13.2039999999,1650,-1.7163377168,-2.4440351037,-1.8062638209,,,
13.2079999999,1651,-1.8550958830,-2.5124170600,-2.5287990863,,,
13.2119999998,1651,-1.1948723373,-1.6889051151,-2.2089974556,,,
13.2159999998,1652,0.5669046302,0.2435496783,-0.4018290657,,,
13.2199999997,1652,2.3263429336,2.1283515695,1.8186933767,,,
13.2239999999,1653,3.1185518200,2.9952171367,3.1620569397,,,
13.2279999999,1653,3.1168907040,3.0695009399,3.3720765110,,,
13.2319999998,1654,2.5818569862,2.7117473824,2.6506117708,,,
13.2359999998,1654,1.1258916322,1.5957587515,0.8872361139,,,
13.2400000000,1655,-1.1296258367,-0.2313908553,-1.6350392057,,,
13.2439999999,1655,-2.8059647476,-1.5599032893,-3.5811399682,,,
13.2479999999,1656,-2.7510297656,-1.3606875328,-3.7288584511,,,
13.2519999999,1656,-1.4724720424,-0.1672849659,-2.3992822363,,,
13.2559999998,1657,-0.0970629930,0.9028120282,-0.7941531299,,,
13.2599999998,1657,1.2754392368,1.7680076377,0.6440825974,,,
13.2640000000,1658,2.9937869657,2.8537953342,2.1517813625,,,
13.2679999999,1658,4.4152173315,3.6533233615,3.4032255769,,,
13.2719999999,1659,4.5222421100,3.2578628474,3.6955894354,,,
13.2759999998,1659,3.5150799168,1.9164249628,3.1827602532,,,
13.2799999998,1660,2.3830615358,0.6700853027,2.6487569934,,,
13.2839999998,1660,1.2683459469,-0.2736946361,2.1403912723,,,
13.2879999999,1661,-0.3593505059,-1.4466724828,1.0284545970,,,
13.2919999999,1661,-2.2108264529,-2.6575947405,-0.6057540956,,,
13.2959999999,1662,-3.2855711296,-3.0373503719,-1.8279117770,,,
13.2999999998,1662,-3.4043905972,-2.5302782298,-2.2197950664,,,
13.3039999998,1663,-3.3318878127,-2.0391286202,-2.3043521358,,,
13.3079999997,1663,-3.2779954639,-1.9180201518,-2.3454622864,,,
13.3119999999,1664,-2.5677814614,-1.5514932473,-1.8160939844,,,
13.3159999999,1664,-1.0961498010,-0.7351857247,-0.5513604621,,,
13.3199999998,1665,0.1799352928,-0.2098068049,0.6005988837,,,
13.3239999998,1665,0.7080818459,-0.2905095064,0.9520884817,,,
13.3280000000,1666,1.0939551345,-0.1688714706,0.8918021819,,,
13.3319999999,1666,1.7882503620,0.7206177530,0.9309973380,,,
13.3359999999,1667,2.2321346320,1.7561978716,0.7723671831,,,
13.3399999999,1667,2.0713932460,2.3282068306,0.1627949009,,,
13.3439999998,1668,2.0306571771,2.8594642151,-0.2339356001,,,
13.3479999998,1668,2.6082085320,3.6808596233,0.1575474494,,,
13.3520000000,1669,2.9364281940,3.9381559953,0.6516398824,,,
13.3559999999,1669,2.0238283083,2.7666087772,0.2013273352,,,
13.3599999999,1670,0.2923832215,0.7649403484,-1.0384228885,,,
13.3639999998,1670,-1.2073006572,-0.8458005552,-2.0591010252,,,
13.3679999998,1671,-2.3639862152,-1.9013868402,-2.4828810186,,,
13.3719999997,1671,-3.5939292949,-2.9739133077,-2.6267086738,,,
13.3759999999,1672,-4.4967306025,-3.9382443891,-2.4189352768,,,
13.3799999999,1672,-4.3113058518,-4.1877594625,-1.4970097756,,,
13.3839999998,1673,-3.3249239944,-3.9032475417,-0.2786923074,,,
13.3879999998,1673,-2.4145501005,-3.6908384138,0.3459650653,,,
